id,start_date,end_date,guest_id,total
1,2021-02-02,2021-02-09,302,3240
2,2021-01-15,2021-01-21,598,2808
3,2021-05-28,2021-06-01,125,1944
4,2021-04-17,2021-04-19,775,1080
5,2021-02-20,2021-02-24,789,1944
6,2020-11-10,2020-11-14,984,1728
7,2020-08-16,2020-08-20,423,1836
10,2021-05-22,2021-05-25,202,1512
11,2020-11-29,2020-12-04,279,2268
12,2021-03-11,2021-03-13,322,864
13,2020-08-30,2020-09-06,35,3240
14,2020-11-25,2020-11-27,113,864
15,2021-10-12,2021-10-15,402,1296.00
85,2028-12-10,2028-12-12,329,972.00
288,2029-10-12,2029-10-14,399,972.00
100,2027-09-22,2027-09-25,259,1296.00
